ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1030,1975,Nacional 1975,Newells,9,4,3,30,16,31,15,16,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1031,1975,Metropolitano 1975,Racing Club,7,14,17,38,38,60,91,-31,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
1032,1975,Nacional 1975,Racing Club,7,6,3,24,16,36,30,6,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
1033,1975,Metropolitano 1975,River Plate,23,6,9,78,38,72,38,34,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1034,1975,Nacional 1975,River Plate,17,3,3,54,23,54,25,29,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1035,1975,Metropolitano 1975,Rosario Central,15,12,11,56,38,75,51,24,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1036,1975,Nacional 1975,Rosario Central,11,4,8,41,23,29,17,12,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1037,1975,Metropolitano 1975,San Lorenzo,11,15,12,45,38,56,63,-7,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1038,1975,Nacional 1975,San Lorenzo,13,5,5,44,23,52,33,19,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1039,1975,Nacional 1975,San Martin (T),4,8,4,16,16,23,31,-8,https://logodetimes.com/times/san-martin-de-tucuman/logo-san-martin-de-tucuman-256.png
1040,1975,Nacional 1975,Talleres (C),10,6,7,37,23,47,34,13,https://logodetimes.com/times/talleres/logo-talleres-256.png
1041,1975,Metropolitano 1975,Temperley,7,20,11,32,38,44,77,-33,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
